source_file,table_name,insert_blocks
docs/qa-seed-data/03-demand-allocation.sql,connection_allocations,5
docs/qa-seed-data/05-connection-lifecycle.sql,connections,5
docs/qa-seed-data/14-visibility.sql,read_model_projections,5
docs/qa-seed-data/02-capacity-coverage.sql,capacity_caps,4
docs/qa-seed-data/02-capacity-coverage.sql,csp_zone_eligibility,4
docs/qa-seed-data/03-demand-allocation.sql,csp_zone_exposures,4
docs/qa-seed-data/08-customer-access.sql,customer_access_states,4
docs/qa-seed-data/10-support-resolution.sql,complaints,4
docs/qa-seed-data/04-enforcement.sql,enforcement_posture,3
docs/qa-seed-data/06-quality.sql,domain_state_records,3
docs/qa-seed-data/06-quality.sql,sla_state_records,3
docs/qa-seed-data/07-capability-intervention.sql,capability_intervention_records,3
docs/qa-seed-data/09-compensation.sql,csp_compensation_postures,3
docs/qa-seed-data/11-asset-custody.sql,device_orders,3
docs/qa-seed-data/11-asset-custody.sql,netbox_custody,3
docs/qa-seed-data/12-payment-settlement.sql,wallets,3
docs/qa-seed-data/13-exit.sql,exit_records,3
docs/qa-seed-data/02-capacity-coverage.sql,effective_coverage,2
docs/qa-seed-data/02-capacity-coverage.sql,zones,2
docs/qa-seed-data/04-enforcement.sql,fpv_investigation,2
docs/qa-seed-data/10-support-resolution.sql,complaint_tasks,2
docs/qa-seed-data/15-gateway.sql,install_task,2
docs/migrations/2026-04-21-csp-seed/connections.sql,connections,1
docs/migrations/2026-04-21-csp-seed/netbox-custody.sql,netbox_custody,1
docs/qa-seed-data/01-routing-registry.sql,producers,1
docs/qa-seed-data/01-routing-registry.sql,subscriptions,1
docs/qa-seed-data/02-capacity-coverage.sql,cap_calibration_history,1
docs/qa-seed-data/02-capacity-coverage.sql,over_cap_breaches,1
docs/qa-seed-data/03-demand-allocation.sql,allocation_audit_log,1
docs/qa-seed-data/03-demand-allocation.sql,csp_taper_records,1
docs/qa-seed-data/05-connection-lifecycle.sql,connection_event_history,1
docs/qa-seed-data/06-quality.sql,evaluation_cycle_records,1
docs/qa-seed-data/06-quality.sql,p17_counter_records,1
docs/qa-seed-data/06-quality.sql,recovery_counter_records,1
docs/qa-seed-data/07-capability-intervention.sql,relapse_tracker,1
docs/qa-seed-data/09-compensation.sql,correction_balance_store,1
docs/qa-seed-data/09-compensation.sql,entitlement_ledger_entries,1
docs/qa-seed-data/09-compensation.sql,fpv_hold_records,1
docs/qa-seed-data/09-compensation.sql,intervention_support_records,1
docs/qa-seed-data/10-support-resolution.sql,escalation_logs,1
docs/qa-seed-data/11-asset-custody.sql,custody_patterns,1
docs/qa-seed-data/12-payment-settlement.sql,csp_bank_accounts,1
docs/qa-seed-data/12-payment-settlement.sql,deposit_ledger_entries,1
docs/qa-seed-data/12-payment-settlement.sql,wallet_ledger_entries,1
docs/qa-seed-data/13-exit.sql,exit_audit_logs,1
docs/qa-seed-data/13-exit.sql,exit_risk_records,1
docs/qa-seed-data/14-visibility.sql,audit_trail_entries,1
docs/qa-seed-data/14-visibility.sql,change_notices,1
docs/qa-seed-data/15-gateway.sql,executor_roster,1
docs/qa-seed-data/15-gateway.sql,install_executor_assignment,1
docs/qa-seed-data/15-gateway.sql,install_slot,1
docs/qa-seed-data/15-gateway.sql,install_timeline_event,1
docs/qa-seed-data/15-gateway.sql,restore_task,1
docs/qa-seed-data/15-gateway.sql,restore_timeline_event,1
migration_scripts/wallet/001_import_legacy_wallet_balances.sql,legacy_wallet_staging,1
migration_scripts/wallet/001_import_legacy_wallet_balances.sql,wallet_ledger_entries,1
migration_scripts/wallet/001_import_legacy_wallet_balances.sql,wallets,1
